!Family	Genus	Species	CAAB	Min length	Max length
Balistidae	Abalistes	filamentosus	37465089		325
Balistidae	Abalistes	stellatus	37465011		600
Pomacentridae	Abudefduf	bengalensis	37372003		180
Pomacentridae	Abudefduf	septemfasciatus	37372010		230
Pomacentridae	Abudefduf	sexfasciatus	37372011		190
Pomacentridae	Abudefduf	sordidus	37372012		240
Pomacentridae	Abudefduf	vaigiensis	37372013		200
Serranidae	Acanthistius	pardalotus	37311132		
Serranidae	Acanthistius	serratus	37311035		500
Pomacentridae	Acanthochromis	polyacanthus	37372015		140
Sparidae	Acanthopagrus	morrisoni	37353012		450
Sparidae	Acanthopagrus	palmaris	37353014		
Acanthuridae	Acanthurus	bariene	37437006		500
Acanthuridae	Acanthurus	blochii	37437007		450
Acanthuridae	Acanthurus	dussumieri	37437008		540
Acanthuridae	Acanthurus	fowleri	37437044		450
Acanthuridae	Acanthurus	grammoptilus	37437002		350
Acanthuridae	Acanthurus	leucocheilus	37437053		450
Acanthuridae	Acanthurus	lineatus	37437010		380
Acanthuridae	Acanthurus	mata	37437011		500
Acanthuridae	Acanthurus	nigricans	37437012		
Acanthuridae	Acanthurus	nigricauda	37437013		400
Acanthuridae	Acanthurus	nigrofuscus	37437014		210
Acanthuridae	Acanthurus	olivaceus	37437016		350
Acanthuridae	Acanthurus	pyroferus	37437017		290
Acanthuridae	Acanthurus	thompsoni	37437018		270
Acanthuridae	Acanthurus	triostegus	37437019		270
Acanthuridae	Acanthurus	xanthopterus	37437020		700
Monacanthidae	Acreichthys	tomentosus	37465042		120
Serranidae	Aethaloperca	rogaa	37311134		600
Myliobatidae	Aetobatus	ocellatus	37039003		1528
Myliobatidae	Aetomylaeus	vespertilio	37039005		
Albulidae	Albula	argentea	37055001		700
Carangidae	Alectis	ciliaris	37337018		1500
Carangidae	Alectis	indica	37337038		
Carangidae	Alepes	apercna	37337010		295
Carangidae	Alepes	vari	37337067		560
Alopiidae	Alopias	pelagicus	37012003		4280
Monacanthidae	Aluterus	monoceros	37465022		762
Monacanthidae	Aluterus	scriptus	37465045		1100
Monacanthidae	Amanses	scopas	37465046		200
Gobiidae	Amblyeleotris	steinitzi	37428043		130
Gobiidae	Amblyeleotris	wheeleri	37428044		100
Pomacentridae	Amblyglyphidodon	aureus	37372016		130
Pomacentridae	Amblyglyphidodon	batunai	37372141		100
Pomacentridae	Amblyglyphidodon	curacao	37372017		110
Pomacentridae	Amblyglyphidodon	leucogaster	37372018		130
Gobiidae	Amblygobius	decussatus	37428046		
Gobiidae	Amblygobius	nocturnus	37428047		100
Gobiidae	Amblygobius	phalaena	37428048		150
Pomacentridae	Amblypomacentrus	breviceps	37372019		85
Terapontidae	Amniataba	caudavittata	37321007		300
Pomacentridae	Amphiprion	clarkii	37372007		150
Pomacentridae	Amphiprion	melanopus	37372024		120
Pomacentridae	Amphiprion	perideraion	37372027		100
Pomacentridae	Amphiprion	polymnus	37372138		
Pomacentridae	Amphiprion	rubrocinctus	37372028		120
Monacanthidae	Anacanthus	barbatus	37465010		350
Labridae	Anampses	caeruleopunctatus	37384045		420
Labridae	Anampses	geographicus	37384048		310
Labridae	Anampses	lennardi	37384016		280
Labridae	Anampses	melanurus	37384180		120
Labridae	Anampses	meleagrides	37384049		220
Labridae	Anampses	neoguinaicus	37384050		200
Labridae	Anampses	twistii	37384051		180
Aracanidae	Anoplocapros	lenticularis	37466010		330
Antennariidae	Antennarius	hispidus	37210008		
Serranidae	Anyperodon	leucogrammicus	37311085		650
Lutjanidae	Aphareus	furca	37346036		700
Lutjanidae	Aphareus	rutilans	37346001		1100
Apogonidae	Apogon	crassiceps	37327051		
Apogonidae	Apogon	semiornatus	37327074		75
Pomacanthidae	Apolemichthys	trimaculatus	37365016		260
Lutjanidae	Aprion	virescens	37346027		1120
Rhinobatidae	Aptychotrema	vincentiana	37027001		790
Sparidae	Argyrops	spinifer	37353006		700
Tetraodontidae	Arothron	caeruleopunctatus	37467066		800
Tetraodontidae	Arothron	hispidus	37467033		500
Tetraodontidae	Arothron	immaculatus	37467034		300
Tetraodontidae	Arothron	manilensis	37467020		310
Tetraodontidae	Arothron	mappa	37467035		650
Tetraodontidae	Arothron	meleagris	37467064		500
Tetraodontidae	Arothron	nigropunctatus	37467027		330
Tetraodontidae	Arothron	reticularis	37467021		450
Tetraodontidae	Arothron	stellatus	37467014		1200
Blenniidae	Aspidontus	dussumieri	37408007		120
Blenniidae	Aspidontus	taeniatus	37408008		115
Scyliorhinidae	Atelomycterus	macleayi	37015028		600
Carangidae	Atule	mate	37337024		300
Aulostomidae	Aulostomus	chinensis	37277001		800
Leiognathidae	Aurigequula	longispina	37341004		
Labridae	Austrolabrus	maculatus	37384025		125.5
Balistidae	Balistapus	undulatus	37465047		300
Balistidae	Balistoides	conspicillum	37465031		500
Balistidae	Balistoides	viridescens	37465048		750
Dasyatidae	Bathytoshia	brevicaudata	37035001		
Berycidae	Beryx	splendens	37258002		700
Labridae	Bodianus	anthioides	37384052		
Labridae	Bodianus	axillaris	37384053		200
Labridae	Bodianus	bilunulatus	37384054		550
Labridae	Bodianus	bimaculatus	37384055		59
