!Family	Genus	Species	Code
Myxinidae	Eptatretus	cirrhatus	Eptcir
Carcharhinidae	Carcharhinus	brachyurus	Carbra
Carcharhinidae	Carcharhinus	galapagensis	Cargal
Scyliorhinidae	Cephaloscyllium	isabellum	Cepisa
Triakidae	Galeorhinus	galeus	Galgal
Triakidae	Mustelus	lenticulatus	Muslen
Galeocerdonidae	Galeocerdo	cuvier	Galcuv
Hexanchidae	Notorynchus	cepedianus	Notcep
Lamnidae	Carcharodon	carcharias	Carcar
Dasyatidae	Bathytoshia	brevicaudata	Dasbre
Dasyatidae	Bathytoshia	lata	Dasthe
Myliobatidae	Myliobatis	tenuicaudatus	Mylten
Rajidae	Dipturus	nasutus	Dipnas
Rajidae	Dipturus	innominatus	Dipinn
Squalidae	Squalus	acanthias	Squaca
Squalidae	Squalus	griffini	Squgri
Percophidae	Hemerocoetes	monopterygius	Hemmon
Polyprionidae	Polyprion	oxygeneios	Poloxy
Congridae	Conger	verreauxi	Conver
Congridae	Conger	wilsoni	Conwil
Muraenidae	Enchelycore	ramosa	Encram
Muraenidae	Gymnothorax	nubilus	Gymnub
Muraenidae	Gymnothorax	obesus	Gymobe
Muraenidae	Gymnothorax	porphyreus	Gympor
Muraenidae	Gymnothorax	prasinus	Gympra
Muraenidae	Gymnothorax	prionodon	Gympri
Ophichthidae	Ophisurus	serpens	Ophser
Synodontidae	Synodus	doaki	Syndoa
Synodontidae	Synodus	similis	Synsim
Hemiramphidae	Hyporhamphus	ihi	Hypihi
Berycidae	Centroberyx	affinis	Cenaff
Holocentridae	Pristilepis	oligolepis	Priris
Trachichthyidae	Optivus	elongatus	Optelo
Trachichthyidae	Paratrachichthys	trailli	Partra
Moridae	Lotella	phycis	Lotphy
Moridae	Lotella	rhacina	Lotrha
Moridae	Pseudophycis	bachus	Psebac
Moridae	Pseudophycis	barbata	Psebar
Moridae	Pseudophycis	breviuscula	Psebre
Aplodactylidae	Aplodactylus	arctidens	Aplarc
Aplodactylidae	Aplodactylus	etheridgii	Apleth
Apogonidae	Ostorhinchus	doederleini	Apodoe
Arripidae	Arripis	trutta	Arrtru
Arripidae	Arripis	xylabion	Arrxyl
Blenniidae	Cirripectes	alboapicalis	Ciralb
Blenniidae	Parablennius	laticlavius	Parlat
Blenniidae	Plagiotremus	tapeinosoma	Platap
Bovichtidae	Bovichtus	variegatus	Bovvar
Callanthiidae	Callanthias	allporti	Calall
Callanthiidae	Callanthias	australis	Calaus
Cepolidae	Cepola	haastii	Cephaa
Carangidae	Decapterus	koheru	Deckoh
Carangidae	Decapterus	muroadsi	Decmur
Carangidae	Pseudocaranx	georgianus	Psegeo
Carangidae	Seriola	lalandi	Serlal
Carangidae	Seriola	rivoliana	Serriv
Carangidae	Trachurus	novaezelandiae	Trasp.
Centrolophidae	Seriolella	brama	Serbra
Chaetodontidae	Amphichaetodon	howensis	Amphow
Chaetodontidae	Forcipiger	flavissimus	Fcpfla
Cheilodactylidae	Chirodactylus	spectabilis	Chespe
Cheilodactylidae	Goniistius	francisi	Chefra
Cheilodactylidae	Morwong	ephippium	Cheeph
Cheilodactylidae	Nemadactylus	douglasii	Nemdou
Cheilodactylidae	Nemadactylus	macropterus	Nemmac
Cheilodactylidae	Pseudogoniistius	nigripes	Chenig
Chironemidae	Chironemus	marmoratus	Chimar
Cirrhitidae	Notocirrhitus	splendens	Cirspl
Emmelichthyidae	Emmelichthys	nitidus	Emmnit
Emmelichthyidae	Plagiogeneion	rubiginosum	Plarub
Gempylidae	Thyrsites	atun	Thyatu
Gempylidae	Rexea	solandri	Rexsol
Gobiidae	Gobiopsis	atrata	Gobatr
Kyphosidae	Atypichthys	latus	Atylat
Kyphosidae	Bathystethus	cultratus	Batcul
Kyphosidae	Girella	cyanea	Gircya
Kyphosidae	Girella	fimbriata	Girfim
Kyphosidae	Girella	tricuspidata	Girtri
Kyphosidae	Kyphosus	bigibbus	Kypbig
Kyphosidae	Kyphosus	sydneyanus	Kypsyd
Kyphosidae	Labracoglossa	nitida	Labnit
Kyphosidae	Scorpis	lineolata	Scolin
Kyphosidae	Scorpis	violacea	Scovio
Labridae	Anampses	caeruleopunctatus	Anacae
Labridae	Anampses	elegans	Anaele
Labridae	Bodianus	flavipinnis	Bodfla
Labridae	Bodianus	unimaculatus	Bodvul
Labridae	Coris	picta	Corpic
Labridae	Coris	sandeyeri	Corsan
Labridae	Notolabrus	celidotus	Notcel
Labridae	Notolabrus	cinctus	Notcin
Labridae	Notolabrus	fucicola	Notfuc
Labridae	Notolabrus	inscriptus	Notins
Labridae	Pseudolabrus	luculentus	Pseluc
Labridae	Pseudolabrus	miles	Psemil
Labridae	Suezichthys	arquatus	Suearq
Labridae	Suezichthys	aylingi	Sueayl
Labridae	Thalassoma	amblycephalum	Thaamb
