!Family,Genus,Species,Code,CommonName,Size,MinDepth,MaxDepth,TaxonomicNotes
Myxinidae,Eptatretus,cirrhatus,Eptcir,Hagfish,970,0,1100,NA
Carcharhinidae,Carcharhinus,brachyurus,Carbra,Bronze whaler shark,3300,0,360,NA
Carcharhinidae,Carcharhinus,galapagensis,Cargal,Galapagos shark,3700,1,286,NA
Carcharhinidae,Carcharhinus,obscurus,Carobs,Dusky shark,NA,NA,NA,NA
Scyliorhinidae,Cephaloscyllium,isabellum,Cepisa,Carpet shark,905,5,690,Changed from C. isabella; source: Te Papa; fishbase says isabella
Triakidae,Galeorhinus,galeus,Galgal,School shark,1750,0,1100,NA
Triakidae,Mustelus,lenticulatus,Muslen,Rig,NA,NA,NA,NA
Galeocerdonidae,Galeocerdo,cuvier,Galcuv,Tiger shark,NA,0,800,NA
Hexanchidae,Notorynchus,cepedianus,Notcep,Broadsnout sevengill,NA,NA,NA,NA
Lamnidae,Carcharodon,carcharias,Carcar,White shark,NA,0,1200,NA
Lamnidae,Isurus,oxyrinchus,Isuoxy,Shortfin mako,NA,NA,NA,NA
Lamnidae,Lamna,nasus,Lamnas,Porbeagle,NA,NA,NA,NA
Dasyatidae,Bathytoshia,brevicaudata,Dasbre,Short-tailed stingray,4300,0,476,Changed from ""Dasyatis brev""; source fishbase
Dasyatidae,Bathytoshia,lata,Dasthe,Long-tailed stingray,3300,0,440,Changed from ""Dasyatis thetidis""; source fishbase
Myliobatidae,Myliobatis,tenuicaudatus,Mylten,Eagle ray,1050,0,160,Corrected from ""Myliobatus""
Rajidae,Dipturus,nasutus,Dipnas,Rough skate,NA,NA,NA,NA
Rajidae,Dipturus,innominatus,Dipinn,Smooth skate,NA,NA,NA,NA
Squalidae,Squalus,acanthias,Squaca,Spiny dogfish,1200,0,1460,NA
Squalidae,Squalus,griffini,Squgri,Northern spiny dogfish,NA,NA,NA,NA
Percophidae,Hemerocoetes,monopterygius,Hemmon,Opalfish,NA,NA,NA,NA
Polyprionidae,Polyprion,oxygeneios,Poloxy,Hapuku,NA,NA,NA,NA
Congridae,Conger,verreauxi,Conver,Common conger eel,2000,NA,45,NA
Congridae,Conger,wilsoni,Conwil,Northern conger eel,904,NA,30,NA
Muraenidae,Enchelycore,ramosa,Encram,Mosaic moray,1800,NA,NA,NA
Muraenidae,Gymnothorax,nubilus,Gymnub,Grey moray,820,NA,NA,NA
Muraenidae,Gymnothorax,obesus,Gymobe,Speckled moray,1720,NA,NA,NA
